id,title,price,location,image_url,product_url
203,Chiot Belgian Malinois charbonne,250000.0,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4850412_uploaded_image1_1721376820.jpg,https://sn.coinafrique.com/annonce/chiens/chiot-belgian-malinois-charbonne-4850412
204,Chiots Rottweiler,250000.0,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_4848898_uploaded_image1_1721301203.jpg,https://sn.coinafrique.com/annonce/chiens/chiots-rottweiler-4848898
205,Chiots spitz nain,800000.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4845887_uploaded_image1_1721141629.jpg,https://sn.coinafrique.com/annonce/chiens/chiots-spitz-nain-4845887
206,Berger allemand,150000.0,"Diamniadio, Sénégal",https://images.coinafrique.com/thumb_4845561_uploaded_image1_1721130362.jpg,https://sn.coinafrique.com/annonce/chiens/berger-allemand-4845561
207,Berger Allemand,150000.0,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_4840125_uploaded_image1_1720797730.jpg,https://sn.coinafrique.com/annonce/chiens/berger-allemand-4840125
208,Chiots Berger Allemand,350000.0,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4837526_uploaded_image1_1720683729.jpg,https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-4837526
209,Berger Allemand poil long,150000.0,"Thies, Sénégal",https://images.coinafrique.com/thumb_4834152_uploaded_image1_1720526802.jpg,https://sn.coinafrique.com/annonce/chiens/berger-allemand-poil-long-4834152
210,Chiens de race,250000.0,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4829755_uploaded_image1_1720296424.jpg,https://sn.coinafrique.com/annonce/chiens/chiens-de-race-4829755
211,Chiens de race,500000.0,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_4829728_uploaded_image1_1720295748.jpg,https://sn.coinafrique.com/annonce/chiens/chiens-de-race-4829728
212,Chiots Berger Allemand,160000.0,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_4817314_uploaded_image1_1719692246.jpg,https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-4817314
