id,name,price,address,image_url,product_url
135,Chat persan,400000.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4785131_uploaded_image1_1717786702.jpg,https://sn.coinafrique.com/annonce/autres-animaux/chat-persan-4785131
136,Chaton Angora,350000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4765270_uploaded_image1_1716842569.jpg,https://sn.coinafrique.com/annonce/autres-animaux/chaton-angora-4765270
138,Chaton Scottish,450000.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4755374_uploaded_image1_1716328455.jpg,https://sn.coinafrique.com/annonce/autres-animaux/chaton-scottish-4755374
142,Boeuf,800000.0,"Kaolack, Sénégal",https://images.coinafrique.com/thumb_4752043_uploaded_image1_1716145974.jpg,https://sn.coinafrique.com/annonce/autres-animaux/boeuf-4752043
144,Paon bleu,250000.0,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4686441_uploaded_image1_1712838619.jpg,https://sn.coinafrique.com/annonce/autres-animaux/paon-bleu-4686441
145,Perroquet inséparable,60000.0,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_4724298_uploaded_image1_1714756962.jpg,https://sn.coinafrique.com/annonce/autres-animaux/perroquet-inseparable-4724298
146,Chat Siamois,300000.0,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4723220_uploaded_image1_1714727016.jpg,https://sn.coinafrique.com/annonce/autres-animaux/chat-siamois-4723220
147,Hamster,5000.0,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4723216_uploaded_image1_1714726904.jpg,https://sn.coinafrique.com/annonce/autres-animaux/hamster-4723216
149,Perruche,20000.0,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_4701230_uploaded_image1_1713565518.jpg,https://sn.coinafrique.com/annonce/autres-animaux/perruche-4701230
152,Paire de perruches ondulées,40000.0,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_4679396_uploaded_image1_1712411459.jpg,https://sn.coinafrique.com/annonce/autres-animaux/paire-de-perruches-ondulees-4679396
155,Couple perroquet  Roseicollis,60000.0,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_4651651_uploaded_image1_1710951067.jpg,https://sn.coinafrique.com/annonce/autres-animaux/couple-perroquet-roseicollis-4651651
156,Canard Colvert,25000.0,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_4650420_uploaded_image1_1710887873.jpg,https://sn.coinafrique.com/annonce/autres-animaux/canard-colvert-4650420
158,Chaton Himalayen,270000.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4642742_uploaded_image1_1710476161.jpg,https://sn.coinafrique.com/annonce/autres-animaux/chaton-himalayen-4642742
159,Cage avec 3  oiseaux,60000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4640165_uploaded_image1_1710330525.jpg,https://sn.coinafrique.com/annonce/autres-animaux/cage-avec-3-oiseaux-4640165
160,Chaton Hymalayen Persan,270000.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4639205_uploaded_image1_1710275204.jpg,https://sn.coinafrique.com/annonce/autres-animaux/chaton-hymalayen-persan-4639205
161,Chat Brittish Shorthair,700000.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4629619_uploaded_image1_1709768692.jpg,https://sn.coinafrique.com/annonce/autres-animaux/chat-brittish-shorthair-4629619
162,Chat Persan Chinchilla,400000.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4623023_uploaded_image1_1709471973.jpg,https://sn.coinafrique.com/annonce/autres-animaux/chat-persan-chinchilla-4623023
